?mondo_term	?label	?definition	?obsoletion_candidate	?obsolete
<http://purl.obolibrary.org/obo/MONDO_0015573>	"subacute cutaneous lupus erythematosus"	"Subacute cutaneous lupus erythematosus (SCLE) is a form of cutaneous lupus erythematosus (CLE) that can present either as a non-scarring, annular photo-distributed dermatosis or psoriasiform plaques. SCLE is associated with anti-Ro/SSA antibodies and can be drug-induced."	""	
<http://purl.obolibrary.org/obo/MONDO_0015574>	"chronic cutaneous lupus erythematosus"	"Chronic cutaneous lupus erythematosus (CCLE) is a form of cutaneous lupus erythematosus (CLE) that includes five different forms: discoid lupus erythematosus (DLE), chilblain lupus, hypertrophic or verrucous lupus erythematosus, lupus erythematosus tumidus, and lupus erythematosus panniculitis."	""	
<http://purl.obolibrary.org/obo/MONDO_0015575>	"obsolete rare bacterial infectious disease"	"OBSOLETE. Rare bacterial infectious disease."	""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015576>	"obsolete rare viral disease"	"OBSOLETE. Rare viral disease."	""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015577>	"obsolete rare parasitic disease"	"OBSOLETE. Any of the forms of parasitic infection that have a rare incidence."	""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015578>	"obsolete rare mycosis"	"OBSOLETE. Rare fungal infectious disease."	""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015579>	"Hb Bart's hydrops fetalis"	"Alpha thalassemia caused by variation in all four copies of the alpha hemoglobin genes (e.g., homozygous deletion encompassing HBA1 and HBA2)."	""	
<http://purl.obolibrary.org/obo/MONDO_0015580>	"distal monosomy 7q36"	"Distal monosomy 7q36 is a rare chromosomal anomaly syndrome, resulting from a partial deletion of the long arm of chromosome 7, with a highly variable phenotype typically characterized by holoprosencephaly, growth restriction, developmental delay, facial dysmorphism (facial clefts, prominent forehead, hypertelorism, low-set ears, flat and broad nasal bridge, large mouth), abnormal fingers and palm or sole creases, ocular abnormalities, and other congenital malformations (incl. genital anomalies and caudal deficiency sequence). Cardiopathies have been occasionally reported."	""	
<http://purl.obolibrary.org/obo/MONDO_0015581>	"obsolete bile acid synthesis defect with cholestasis and malabsorption"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015582>	"obsolete rare disorder related with pregnancy, childbirth and puerperium"	"OBSOLETE. Any of the forms of pregnancy disorder that have a rare incidence."	""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015583>	"2p21 microdeletion syndrome"	"The 2p21 microdeletion syndrome consists of cystinuria, neonatal seizures, hypotonia, severe growth and developmental delay, facial dysmorphism, and lactic acidemia."	""	
<http://purl.obolibrary.org/obo/MONDO_0015584>	"febrile infection-related epilepsy syndrome"	"A rare, potentially fatal, epileptic encephalopathy characterized by explosive-onset of recurrent multifocal and bilateral tonic-clonic seizures following an unspecific febrile illness. The syndrome develops without a clear acute structural, toxic or metabolic cause, in a patient without previous epilepsy. FIRES is a subgroup of new-onset refractory status epilepticus (NORSE), and requires a preceding febrile infection as a mandatory feature."	""	
<http://purl.obolibrary.org/obo/MONDO_0015585>	"cryptogenic late-onset epileptic spasms"	"Cryptogenic late-onset epileptic spasms is a rare epilepsy syndrome characterized by late-onset (after 1 year old) epileptic spasms that occur in clusters, associated with tonic seizures, atypical absences and cognitive deterioration. Language difficulties and behavior problems are frequently present. EEG is characterized by a temporal, or temporofrontal, slow wave or spike focus combined with synchronous spike-waves and no hypsarrhythmia or background activity."	""	
<http://purl.obolibrary.org/obo/MONDO_0015586>	"obsolete benign familial mesial temporal lobe epilepsy"	"OBSOLETE. Benign familial mesial temporal lobe epilepsy is a rare epilepsy characterized by seizures with viscerosensory or experential auras, onset in adolescence or early adulthood and good prognosis. It is defined as at least 24 months of seizure freedom with or without antiepileptic medication."	""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015588>	"limbic encephalitis"	"A group of autoimmune conditions characterized by inflammation of the limbic system and other parts of the brain.The cardinal sign of limbic encephalitis is a severe impairment of short-term memory; however,symptoms may also include confusion, psychiatric symptoms, and seizures.The symptomstypically develop over a few weeks or months, but they may evolve over a few days. Limbic encephalitis is often associated with an underlying neoplasm (paraneoplastic limbic encephalitis); however some cases never have a neoplasm identified (non-paraneoplastic limbic encephalitis). Delayed diagnosis is common, but improvements are being made to assist in early detection. Various tests including imaging studies (MRI, PET) laboratory tests (CSF analysis), and tests that measure the electrical activity of the brain (EEG) may be utilized to confirm a diagnosis. Treatment includes removal of the neoplasm (if identified) and immunotherapy."	""	
<http://purl.obolibrary.org/obo/MONDO_0015589>	"paraneoplastic limbic encephalitis"	"A rare disorder characterized by degenerative changes in the limbic area of the brain. Causes include infections and autoimmune conditions; it may also manifest as a paraneoplastic syndrome, most often caused by small cell lung carcinoma. Signs and symptoms include behavioral changes, hallucinations and dementia."	""	
<http://purl.obolibrary.org/obo/MONDO_0015590>	"classic paraneoplastic limbic encephalitis"	"Classic paraneoplastic limbic encephalitis is a rare neuroimmunological disorder characterized by the sudden onset of seizures, progressive memory impairment (which may develop into dementia) and psychiatric manifestations (e.g. depression, personality changes, loss of social inhibition) associated with cancer (most commonly small-cell carcinoma of the lung) in the absence of tumor cell invasion of the nervous system. Other reported features include ataxia, dystonia, paresthesia, tremors, paranoid ideation, and hallucinations. The presence of antibodies that act on neuronal antigens (such as anti-Hu, anti-Ma2, anti-amphiphysin) are typically observed."	""	
<http://purl.obolibrary.org/obo/MONDO_0015591>	"obsolete limbic encephalitis associated with antibodies to cell membrane antigens"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015592>	"limbic encephalitis with LGI1 antibodies"	"Limbic encephalitis with LGI1 antibodies is a rare neuroimmunological disorder characterized by the onset of cognitive decline, psychiatric disturbances and seizures (distinctively faciobrachial dystonic seizures) in association with detection of LGI1 antibodies in serum or cerebrospinal fluid. Patients may present with confusion, hallucinations, vocalization, paranoia, tangentiality, aggressive outbursts and/or spatial disorientation, as well as obstinate hyponatremia. It is most often non-paraneoplastic, however comorbid tumors, such as small cell lung cancer and thymoma, have been reported."	""	
<http://purl.obolibrary.org/obo/MONDO_0020068>	"postinfectious encephalitis"		""	
<http://purl.obolibrary.org/obo/MONDO_0015593>	"obsolete limbic encephalitis with nCMAgs antibodies"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0020640>	"autoimmune encephalitis"	"Inflammation of the brain secondary to an immune response triggered by the body itself."	""	
<http://purl.obolibrary.org/obo/MONDO_0015594>	"obsolete non-paraneoplastic limbic encephalitis"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015595>	"posttransplant acute limbic encephalitis"	"Posttransplant acute limbic encephalitis is a rare, acquired, non-paraneoplastic limbic encephalitis disorder, that develops in the setting of treatment-related immunosuppression, typically after allogeneic hemapoietic stem cell transplantation, characterized by onset of confusion, headache, anterograde amnesia, seizures and/or loss of consciousness 2-6 weeks following transplantation. Bilateral, non-enhancing T2 hyperintensities in limbic structures are observed on magnetic resonance imaging. Mild cerebrospinal fluid pleocytosis and syndrome of inappropriate antidiuretic hormone secretion may also be associated."	""	
<http://purl.obolibrary.org/obo/MONDO_0700220>	"disease related to transplantation"	"Disease that occurs as a consequence of immunosuppression in a recipient of a solid organ or bone marrow transplant, or as a consequence of the transplantation."	""	
<http://purl.obolibrary.org/obo/MONDO_0015596>	"non-herpetic acute limbic encephalitis"	"Non-herpetic acute limbic encephalitis is a rare neuroinflammatory/neuroautoimmune disease characterized by an acute (or subacute) onset of disturbance of consciousness (occasionally presenting as convulsions) and high fever, associated with cerebral lesions (on magnetic resonance imaging) that are restricted to the limbic system (particularly the hippocampi and amygdalae), in the absence of viral, bacterial, fungal, paraneoplastic and other disorders."	""	
<http://purl.obolibrary.org/obo/MONDO_0022205>	"pustular psoriasis"		""	
<http://purl.obolibrary.org/obo/MONDO_0015598>	"obsolete acrodermatitis continua suppurativa of Hallopeau"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015599>	"atopic keratoconjunctivitis"	"Atopic keratoconjunctivitis is a rare and chronic allergic disease of the cornea and conjunctiva occurring in all age groups characterized by severe itching and burning sensation, conjunctival injection, photophobia and edema with serious cases leading to ulceration of the cornea which can result in blindness. It is often associated with atopic dermatitis."	""	
<http://purl.obolibrary.org/obo/MONDO_0015600>	"X-linked intellectual disability, Cilliers type"	"X-linked intellectual deficit, Cilliers type is characterized by mild intellectual deficit associated with short stature, hypergonadotropic hypogonadism, microcephaly and mild facial dysmorphism (deep-set eyes, prominent supraorbital ridges, a high nasal bridge and large ears)."	""	
<http://purl.obolibrary.org/obo/MONDO_0015601>	"X-linked intellectual disability, van Esch type"	"X-linked intellectual deficit, Van Esch type is characterized by mild to moderate intellectual deficit associated with low birth weight, short stature, microcephaly and variable hypergonadotropic hypogonadism."	""	
<http://purl.obolibrary.org/obo/MONDO_0015602>	"obsolete developmental delay-deafness syndrome, Hildebrand type"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015603>	"obsolete rare odontal or periodontal disorder"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015605>	"distal monosomy 9p"	"Distal monosomy 9p is a rare chromosomal anomaly syndrome, resulting from a partial deletion of the short arm of chromosome 9, with a highly variable phenotype typically characterized by intellectual disability, craniofacial dysmorphism (trigonocephaly, upslanting palpebral fissures, hypoplastic supraorbital ridges), abnormal digits (long middle phalanges with short distal phalanges), as well as frequent association with genitourinary abnormalities (cryptorchidism, hypospadias, ambiguous genitalia, 46,XY testicular dysgenesis). Congenital hypothyroidism and cardiovascular defects have been reported in some cases. Patients present an increased risk for gonadoblastoma."	""	
<http://purl.obolibrary.org/obo/MONDO_0015606>	"Xp22.3 microdeletion syndrome"	"Xp22.3 microdeletion syndrome is a microdeletion syndrome resulting from a partial deletion of the chromosome X. Phenotype is highly variable (depending on length of deletion), but is mainly characterized by X linked ichthyosis, mild-moderate intellectual deficit, Kallmann syndrome, short stature, chondrodysplasia punctata and ocular albinism. Epilepsy, attention deficit-hyperactivity disorder, autism and difficulties with social communication can be associated."	""	
